SAMPLE+gene	variant
PD10996a::U2AF1	1
PD10997a::DNMT3A	1
PD10997a::IDH2	1
PD10997a::NPM1	1
PD10997a::NRAS	1
PD10997a::PTPN11	1
PD10998a::NRAS	1
PD10999a::IDH2	1
PD10999a::NPM1	1
PD11000a::NF1	1
PD11001a::CEBPA	2
PD11001a::EZH2	1
PD11001a::GATA2	1
PD11001a::MPL	1
PD11001a::NRAS	2
PD11002a::CEBPA	1
PD11002a::IDH1	1
PD11002a::NPM1	1
PD11003a::DNMT3A	1
PD11003a::IDH2	1
PD11004a::DNMT3A	1
PD11004a::IDH2	1
PD11004a::RAD21	1
PD11005a::NPM1	1
PD11005a::SRSF2	1
PD11005a::TET2	2
PD11006a::DNMT3A	1
PD11006a::FLT3	1
PD11007a::IDH1	1
PD11007a::SRSF2	1
PD11008a::NF1	1
PD11009a::ETV6	1
PD11009a::NF1	1
PD11010a::IDH1	1
PD11010a::NPM1	1
PD11010a::PTPN11	1
PD11011a::NF1	1
PD11012a::BCOR	1
PD11012a::TP53	1
PD11013a::FLT3	1
PD11013a::KRAS	1
PD11014a::DNMT3A	1
PD11014a::IDH2	1
PD11015a::TP53	1
PD11016a::DNMT3A	1
PD11016a::FLT3	1
PD11016a::NPM1	1
PD11017a::KRAS	1
PD11017a::MYC	1
PD11018a::NRAS	1
PD11019a::ETV6	1
PD11019a::SRSF2	1
PD11020a::DNMT3A	1
PD11020a::TP53	1
PD11021a::KRAS	1
PD11021a::NRAS	1
PD11021a::TET2	1
PD11022a::CBL	2
PD11022a::EZH2	1
PD11022a::NRAS	1
PD11022a::PTPN11	1
PD11022a::RUNX1	1
PD11023a::PHF6	1
PD11024a::CBL	1
PD11024a::FLT3	1
PD11024a::IDH2	1
PD11025a::RUNX1	1
PD11026a::U2AF1	1
PD11027a::ASXL1	1
PD11027a::DNMT3A	1
PD11027a::NRAS	1
PD11027a::U2AF1	1
PD11028a::IDH1	1
PD11028a::PHF6	1
PD11029a::DNMT3A	1
PD11029a::IDH1	1
PD11029a::IDH2	1
PD11029a::NPM1	1
PD11030a::TP53	1
PD11031a::PTPN11	1
PD11031a::RUNX1	1
PD11032a::IDH2	1
PD11032a::MLL	1
PD11033a::NRAS	1
PD11035a::IDH2	1
PD11035a::MLL	1
PD11035a::RUNX1	1
PD11036a::KRAS	1
PD11036a::NRAS	1
PD11037a::NPM1	1
PD11037a::NRAS	1
PD11038a::DNMT3A	1
PD11038a::IDH1	1
PD11038a::NPM1	1
PD11038a::NRAS	2
PD11038a::PTPN11	1
PD11040a::IDH1	1
PD11040a::RUNX1	1
PD11040a::SRSF2	1
PD11042a::IDH1	1
PD11042a::MLL	1
PD11043a::CUX1	1
PD11043a::SRSF2	1
PD11044a::TP53	1
PD11045a::DNMT3A	1
PD11045a::FLT3	1
PD11045a::NPM1	1
PD11046a::KIT	1
PD11046a::TET2	1
PD11047a::FLT3	1
PD11047a::NPM1	1
PD11047a::PTPN11	1
PD11047a::STAG2	1
PD11048a::FLT3	1
PD11048a::NPM1	1
PD11048a::WT1	1
PD11049a::NF1	1
PD11050a::CEBPA	1
PD11051a::NRAS	1
PD11052a::DNMT3A	1
PD11052a::FLT3	1
PD11052a::NPM1	1
PD11052a::RAD21	1
PD11053a::CEBPA	1
PD11053a::FBXW7	1
PD11053a::NRAS	2
PD11054a::IDH2	1
PD11054a::NPM1	1
PD11055a::NRAS	1
PD11056a::TP53	1
PD11057a::DNMT3A	1
PD11057a::IDH1	1
PD11057a::KRAS	1
PD11057a::NPM1	1
PD11057a::NRAS	1
PD11057a::RAD21	1
PD11058a::KIT	1
PD11059a::IDH1	1
PD11059a::NPM1	1
PD11059a::PTPN11	1
PD11060a::ASXL1	1
PD11060a::EZH2	1
PD11060a::PHF6	1
PD11061a::FLT3	1
PD11062a::NRAS	1
PD11063a::CEBPA	2
PD11063a::IDH1	1
PD11064a::CEBPA	1
PD11064a::DNMT3A	2
PD11064a::FLT3	1
PD11065a::CBL	1
PD11066a::TP53	1
PD11067a::BRAF	1
PD11067a::GATA2	1
PD11068a::TP53	1
PD11069a::RUNX1	1
PD11070a::NRAS	1
PD11071a::DNMT3A	1
PD11071a::NPM1	1
PD11072a::DNMT3A	1
PD11072a::KIT	1
PD11072a::NPM1	1
PD11072a::NRAS	1
PD11072a::PTPN11	1
PD11072a::TET2	2
PD11073a::DNMT3A	2
PD11073a::FLT3	2
PD11073a::NPM1	1
PD11073a::PHF6	1
PD11074a::IDH2	1
PD11076a::FLT3	1
PD11076a::IDH1	1
PD11077a::DNMT3A	1
PD11077a::NPM1	1
PD11079a::NRAS	1
PD11080a::EZH2	1
PD11081a::RUNX1	2
PD11084a::PHF6	1
PD11085a::EP300	1
PD11085a::NF1	1
PD11085a::TP53	1
PD11086a::DNMT3A	2
PD11086a::FLT3	1
PD11086a::RUNX1	1
PD11086a::TET2	2
PD11087a::DNMT3A	2
PD11087a::IDH1	1
PD11087a::NRAS	1
PD11087a::SRSF2	1
PD11088a::BCOR	1
PD11088a::U2AF1	1
PD11089a::ASXL1	1
PD11089a::ETV6	1
PD11089a::KRAS	1
PD11089a::PHF6	1
PD11090a::CEBPA	2
PD11090a::FLT3	1
PD11091a::KIT	1
PD11093a::DNMT3A	1
PD11093a::FLT3	1
PD11093a::NPM1	1
PD11093a::PTPN11	1
PD11094a::IDH2	1
PD11094a::RUNX1	1
PD11095a::FLT3	1
PD11095a::NPM1	1
PD11096a::FLT3	1
PD11097a::PTPN11	1
PD11098a::DNMT3A	1
PD11098a::FLT3	1
PD11098a::NPM1	1
PD11099a::RUNX1	1
PD11099a::SF3B1	1
PD11100a::CEBPA	1
PD11100a::DNMT3A	1
PD11100a::NPM1	1
PD11101a::DNMT3A	1
PD11101a::IDH1	1
PD11101a::NPM1	1
PD11101a::RUNX1	1
PD11101a::SRSF2	1
PD11102a::TP53	1
PD11103a::FLT3	1
PD11103a::NPM1	1
PD11106a::CEBPA	1
PD11107a::BCOR	1
PD11107a::DNMT3A	1
PD11107a::IDH1	1
PD11108a::CEBPA	1
PD11108a::DNMT3A	1
PD11108a::KIT	1
PD11108a::NPM1	1
PD11109a::TET2	1
PD11110a::EP300	1
PD11110a::NRAS	1
PD11111a::FLT3	1
PD11112a::KIT	1
PD11112a::NPM1	1
